CIDADE;LATITUDE;LONGITUDE;REGIAO;QTD_REGISTROS
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;5
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;5
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;5
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;5
NITEROI;-22.8832;-43.1034;Grande Niterói;5
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;5
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;5
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;5
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;5
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;5
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;5
ITAGUAI;-22.8636;-43.7753;Costa Verde / Metropolitana;5
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;5
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;5
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;5
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;5
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;5
ITABORAI;-22.7448;-42.8597;Grande Niterói;5
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;5
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;5
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;5
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;5
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;5
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;5
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;4
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;4
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;4
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;4
MARICA;-22.9194;-42.8186;Leste Metropolitano;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;4
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;4
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;4
MAGE;-22.6556;-43.0402;Baixada Fluminense;4
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;4
NITEROI;-22.8832;-43.1034;Grande Niterói;4
NITEROI;-22.8832;-43.1034;Grande Niterói;4
NITEROI;-22.8832;-43.1034;Grande Niterói;4
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;4
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;4
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;4
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;4
SAQUAREMA;-22.9324;-42.5099;Região dos Lagos;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;4
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;4
JAPERI;-22.6431;-43.6533;Baixada Fluminense;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;4
PARACAMBI;-22.6078;-43.7108;Baixada Fluminense;4
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;4
JAPERI;-22.6431;-43.6533;Baixada Fluminense;4
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;4
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;4
MARICA;-22.9194;-42.8186;Leste Metropolitano;4
MARICA;-22.9194;-42.8186;Leste Metropolitano;4
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;4
NITEROI;-22.8832;-43.1034;Grande Niterói;4
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;4
ITAGUAI;-22.8636;-43.7753;Costa Verde / Metropolitana;4
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;4
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;4
JAPERI;-22.6431;-43.6533;Baixada Fluminense;4
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;4
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;4
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;4
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;4
MAGE;-22.6556;-43.0402;Baixada Fluminense;4
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;4
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;4
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;4
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;3
JAPERI;-22.6431;-43.6533;Baixada Fluminense;3
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;3
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;3
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;3
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;3
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;3
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;3
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;3
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;3
NILOPOLIS;-22.8058;-43.4233;Baixada Fluminense;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;3
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;3
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;3
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;3
JAPERI;-22.6431;-43.6533;Baixada Fluminense;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;3
GUAPIMIRIM;-22.5371;-42.9897;Baixada Fluminense;3
MAGE;-22.6556;-43.0402;Baixada Fluminense;3
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;3
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;3
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;3
MARICA;-22.9194;-42.8186;Leste Metropolitano;3
MAGE;-22.6556;-43.0402;Baixada Fluminense;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;3
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;3
NITEROI;-22.8832;-43.1034;Grande Niterói;3
MIGUEL PEREIRA;-22.4537;-43.4682;Centro-Sul Fluminense;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;3
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;3
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;3
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;3
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;3
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;3
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;3
PARACAMBI;-22.6078;-43.7108;Baixada Fluminense;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;3
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;3
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;3
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;3
ITAGUAI;-22.8636;-43.7753;Costa Verde / Metropolitana;3
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;3
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;3
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;3
ITAGUAI;-22.8636;-43.7753;Costa Verde / Metropolitana;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;3
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;3
MANGARATIBA;-22.9599;-44.0409;Costa Verde;3
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;3
MAGE;-22.6556;-43.0402;Baixada Fluminense;3
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;3
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;3
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;3
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;3
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;3
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;3
MAGE;-22.6556;-43.0402;Baixada Fluminense;3
NITEROI;-22.8832;-43.1034;Grande Niterói;3
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;3
MAGE;-22.6556;-43.0402;Baixada Fluminense;3
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;3
